"","diameter","albedo","a","q","n","per","moid","t_jup","sigma_a","class_var"
"1012",4.106,0.02,2.84985790160236,1.1706349732483,0.204865706138726,1757.24872056538,0.2037,3.018,1.483e-08,"C"
"1019",0.918,0.033,0.915100584024785,0.672844532125696,1.12590260799391,319.743463994131,0.0139803,6.495,2.832e-09,"B"
"1020",0.939,0.042,1.40367070656063,0.941777176450591,0.592660821860456,607.430062392015,0.0371879,4.66,1.1122e-10,"C"
"1030",0.492,0.046,1.12639102593407,0.896894364165877,0.824461350288927,436.648728134849,0.0032228,5.525,4.0261e-11,"B"
"1033",4.692,0.018,2.25153009107414,1.00746396119772,0.291734264558005,1233.99971732981,0.0600285,3.404,1.6777e-09,"C"
"1035",0.875,0.161,1.92605586867466,1.01232764389503,0.368723445379182,976.341495262903,0.0293707,3.772,2.5651e-09,"T"
"1036",1.196,0.072,1.05384674322852,0.685334865321177,0.911040926839278,395.152390407934,0.0283416,5.78,6.6841e-10,"C"
"5",106.699,0.274,2.57424891828596,2.0823240496395,0.23863177163456,1508.60045807858,1.09589,3.396,4.5689e-09,"S"
"6",185.18,0.2679,2.42515999086816,1.93283528016974,0.260971740274011,1379.45970556817,0.973965,3.439,3.0397e-09,"S"
"7",199.83,0.2766,2.38533381395173,1.83383082935513,0.267534827919421,1345.61919582458,0.8461,3.493,2.1478e-09,"S"
"9",142.887,0.191,2.45310938059135,2.2066399303386,0.256524413946747,1403.37519716441,1.19322,3.483,2.717e-09,"S"
"12",231.689,0.248,2.64410030461289,2.15207458772911,0.229238302888866,1570.41818694028,1.19485,3.339,3.642e-09,"S"
"14",84.899,0.193,2.47035406848883,2.14171888217131,0.253843044630385,1418.19918888929,1.12981,3.466,3.6554e-09,"S"
"15",139.594,0.181,2.29665351101897,1.79673089433725,0.283178876696829,1271.28126292208,0.813258,3.542,2.6604e-09,"S"
